Code,Site,Sn50,,Sn347,,Sn262,,Sn463,,Sn558b,,Sn1015,,Sn1618,
ALW-15a,ALW,134,134,114,116,148,152,88,91,86,90,146,146,133,133
ALW-15,ALW,134,134,114,116,148,152,88,91,88,88,146,146,133,133
ALW-2b,ALW,134,134,118,118,148,148,0,0,90,90,146,146,133,136
ALW-2,ALW,134,134,116,116,148,148,88,91,88,88,146,146,133,133
ALW-2a,ALW,134,134,116,116,148,148,88,91,84,86,148,148,133,133
ALW-3,ALW,134,134,116,122,148,148,88,91,88,88,144,146,133,133
ALW-3a,ALW,134,134,118,122,148,148,88,91,86,86,144,148,133,160
ALW-4,ALW,134,140,116,116,148,148,88,91,86,90,146,146,139,139
ALW-5a,ALW,126,126,116,116,0,0,0,0,86,88,146,146,133,136
ALW-5,ALW,134,134,114,116,0,0,85,88,90,90,144,146,133,136
ALW-6a,ALW,134,134,118,122,148,148,88,91,86,86,146,146,136,139
ALW-6,ALW,134,134,118,122,148,148,82,82,84,84,144,146,136,139
ALW-7a,ALW,134,134,118,118,0,0,85,91,86,86,146,146,133,139
ALW-7,ALW,134,134,118,118,148,148,88,91,86,86,146,146,133,139
ALW-8,ALW,134,134,116,118,148,148,88,91,86,86,146,146,133,136
ALW-9,ALW,134,134,116,118,148,148,88,88,86,90,146,146,133,133
LSGR-1,LSGR,134,134,116,116,166,166,88,100,84,88,144,146,136,136
LSGR-10,LSGR,128,134,116,116,148,148,88,100,86,86,144,144,136,136
LSGR-2,LSGR,128,128,104,104,148,168,88,88,88,96,144,146,136,136
LSGR-3,LSGR,128,134,116,118,166,166,88,91,86,88,144,146,136,136
LSGR-4,LSGR,128,128,116,116,148,166,88,88,86,88,144,146,136,136
LSGR-5,LSGR,128,128,116,118,148,148,88,88,86,88,144,144,136,136
LSGR-6,LSGR,128,134,116,116,148,148,88,94,86,90,144,144,136,136
LSGR-7,LSGR,128,134,116,118,136,136,88,88,84,88,144,144,136,136
LSGR-8,LSGR,134,134,116,118,148,148,88,88,86,88,144,146,136,136
LSGR-9,LSGR,128,134,116,116,148,148,88,100,86,86,144,144,136,136
PMC-1,PMC,128,134,116,116,148,148,0,0,84,88,146,146,136,139
PMC-10,PMC,128,134,118,118,152,152,88,88,90,90,146,146,136,175
PMC-2,PMC,0,0,118,118,152,152,88,88,86,88,154,154,136,139
PMC-3,PMC,128,134,114,114,152,152,88,91,86,86,148,148,136,136
PMC-4,PMC,134,134,112,112,148,152,85,88,86,88,146,146,139,139
PMC-5,PMC,0,0,112,116,152,152,88,88,88,88,144,144,136,136
PMC-6,PMC,128,134,118,118,156,156,0,0,88,88,146,146,163,163
PMC-7,PMC,128,140,118,118,0,0,88,91,86,90,144,144,136,139
PMC-8,PMC,128,134,116,116,154,154,88,88,90,90,144,144,136,139
PMC-9,PMC,128,134,116,118,152,152,88,88,86,90,144,144,136,136
SGR-1a,SGR,134,134,110,110,148,148,0,0,86,88,146,146,136,136
SGR-1,SGR,128,134,116,116,148,158,88,97,86,86,144,144,136,139
SGR-10,SGR,128,134,116,118,152,152,85,88,86,88,146,146,136,139
SGR-11,SGR,128,134,116,118,148,148,88,88,86,86,146,150,148,148
SGR-12,SGR,128,134,116,116,148,148,88,100,88,90,144,146,136,160
SGR-2a,SGR,128,134,0,0,152,152,88,97,88,88,144,144,139,139
SGR-2,SGR,128,134,116,116,152,152,85,97,88,88,144,144,136,145
SGR-3a,SGR,134,134,116,118,148,148,88,88,88,88,146,146,136,139
SGR-3,SGR,134,134,116,116,148,152,88,88,90,90,144,144,136,136
SGR-4a,SGR,128,128,88,88,150,154,85,103,86,86,142,142,133,133
SGR-4,SGR,128,134,116,116,152,152,88,88,88,88,146,146,136,136
SGR-5a,SGR,134,134,116,118,148,148,0,0,88,88,144,144,136,139
SGR-5,SGR,128,134,116,118,148,148,88,88,86,88,144,146,136,136
SGR-6a,SGR,134,134,116,118,146,150,88,88,88,88,144,144,136,139
SGR-6,SGR,128,128,118,118,148,148,85,88,86,86,144,144,136,136
SGR-7,SGR,128,128,116,118,148,152,88,97,86,86,144,144,139,139
SGR-8a,SGR,134,134,106,116,148,150,0,0,88,88,146,146,136,139
SGR-8,SGR,128,128,116,118,180,180,85,88,88,88,144,150,139,160
SGR-9,SGR,128,134,116,118,152,152,88,97,86,90,144,150,136,136
LV-1a,LV,128,128,108,108,144,152,0,0,90,90,152,152,142,142
LV-1,LV,128,128,108,108,148,148,85,103,90,90,146,148,0,0
LV-10,LV,128,128,108,108,148,148,85,88,86,92,144,148,136,148
LV-11a,LV,128,132,116,120,148,148,88,88,88,88,152,152,136,145
LV-11,LV,128,132,108,108,148,148,88,88,86,86,150,150,136,145
LV-12a,LV,128,128,108,108,148,148,88,91,88,88,144,152,145,148
LV-12,LV,128,128,108,108,148,148,88,91,88,88,144,150,145,148
LV-13,LV,128,128,108,108,148,148,0,0,88,90,150,150,136,136
LV-2,LV,134,134,118,118,148,148,85,88,90,90,148,150,136,160
LV-3,LV,128,128,108,108,148,148,85,85,90,90,144,146,136,136
LV-4a,LV,128,134,108,108,148,148,85,88,88,88,150,150,136,136
LV-4,LV,128,134,108,108,148,148,88,88,86,86,146,148,136,136
LV-5a,LV,128,128,108,108,148,148,0,0,90,90,152,152,136,136
LV-5,LV,128,128,108,108,148,148,85,88,90,90,148,150,136,136
LV-6a,LV,128,128,108,108,148,148,0,0,90,90,150,150,136,142
LV-6,LV,128,128,108,108,148,148,88,94,88,88,148,150,136,142
LV-7,LV,128,128,108,108,148,148,85,85,90,90,144,144,136,136
LV-8,LV,128,128,108,108,148,148,94,94,88,88,144,146,136,148
LV-9a,LV,128,128,108,108,148,148,0,0,90,90,152,152,136,145
LV-9,LV,128,128,108,108,148,148,88,97,88,88,148,150,136,145
