Code,Site,year,Sn50,,Sn347,,Sn262,,Sn463,,Sn558b,,Sn1015,,Sn1618,,,,,,,,,,,
SGR 19-3a,SGR,2019,134,134,116,118,148,148,88,88,88,88,146,146,136,139,,,,,,,,,,
SGR 19-3,SGR,2019,134,134,116,116,148,152,88,88,90,90,144,144,136,136,,,,,,,,,,
SGR 19-4a,SGR,2019,128,128,88,88,150,154,85,103,86,86,142,142,133,133,,,,,,,,,,
SGR 19-4,SGR,2019,128,134,116,116,152,152,88,88,88,88,146,146,136,136,,,,,,,,,,
SGR 19-5a,SGR,2019,134,134,116,118,148,148,0,0,88,88,144,144,136,139,,,,,,,,,,
SGR 19-5,SGR,2019,128,134,116,118,148,148,88,88,86,88,144,146,136,136,,,,,,,,,,
SGR 19-6a,SGR,2019,134,134,116,118,146,150,88,88,88,88,144,144,136,139,,,,,,,,,,
SGR 19-6,SGR,2019,128,128,118,118,148,148,85,88,86,86,144,144,136,136,,,,,,,,,,
SGR 19-7,SGR,2019,128,128,116,118,148,152,88,97,86,86,144,144,139,139,,,,,,,,,,
SGR 19-8a,SGR,2019,134,134,106,116,148,150,0,0,88,88,146,146,136,139,,,,,,,,,,
SGR 19-8,SGR,2019,128,128,116,118,180,180,85,88,88,88,144,150,139,160,,,,,,,,,,
SGR 19-9,SGR,2019,128,134,116,118,152,152,88,97,86,90,144,150,136,136,,,,,,,,,,
LV 19-1a,LV,2019,128,128,108,108,144,152,0,0,90,90,152,152,142,142,,,,,,,,,,
LV 19-1,LV,2019,128,128,108,108,148,148,85,103,90,90,146,148,0,0,,,,,,,,,,
LV 19-10,LV,2019,128,128,108,108,148,148,85,88,86,92,144,148,136,148,,,,,,,,,,
LV 19-11a,LV,2019,128,132,116,120,148,148,88,88,88,88,152,152,136,145,,,,,,,,,,
LV 19-11,LV,2019,128,132,108,108,148,148,88,88,86,86,150,150,136,145,,,,,,,,,,
LV 19-12a,LV,2019,128,128,108,108,148,148,88,91,88,88,144,152,145,148,,,,,,,,,,
LV 19-12,LV,2019,128,128,108,108,148,148,88,91,88,88,144,150,145,148,,,,,,,,,,
LV 19-13,LV,2019,128,128,108,108,148,148,0,0,88,90,150,150,136,136,,,,,,,,,,
LV 19-2,LV,2019,134,134,118,118,148,148,85,88,90,90,148,150,136,160,,,,,,,,,,
LV 19-3,LV,2019,128,128,108,108,148,148,85,85,90,90,144,146,136,136,,,,,,,,,,
LV 19-4a,LV,2019,128,134,108,108,148,148,85,88,88,88,150,150,136,136,,,,,,,,,,
LV 19-4,LV,2019,128,134,108,108,148,148,88,88,86,86,146,148,136,136,,,,,,,,,,
LV 19-5a,LV,2019,128,128,108,108,148,148,0,0,90,90,152,152,136,136,,,,,,,,,,
LV 19-5,LV,2019,128,128,108,108,148,148,85,88,90,90,148,150,136,136,,,,,,,,,,
LV 19-6a,LV,2019,128,128,108,108,148,148,0,0,90,90,150,150,136,142,,,,,,,,,,
LV 19-6,LV,2019,128,128,108,108,148,148,88,94,88,88,148,150,136,142,,,,,,,,,,
LV 19-7,LV,2019,128,128,108,108,148,148,85,85,90,90,144,144,136,136,,,,,,,,,,
LV 19-8,LV,2019,128,128,108,108,148,148,94,94,88,88,144,146,136,148,,,,,,,,,,
LV 19-9a,LV,2019,128,128,108,108,148,148,0,0,90,90,152,152,136,145,,,,,,,,,,
LV 19-9,LV,2019,128,128,108,108,148,148,88,97,88,88,148,150,136,145,,,,,,,,,,
PL 22-12,PL,2022,134,134,116,116,148,148,0,0,86,90,146,146,151,151,,,,,,,,,,
PL 22-2,PL,2022,134,134,116,116,148,148,0,0,88,90,146,146,139,145,,,,,,,,,,
PL 22-3,PL,2022,138,138,116,116,148,148,0,0,88,88,146,146,136,136,,,,,,,,,,
PL 22-9,PL,2022,134,134,118,118,148,148,0,0,86,90,146,146,136,136,,,,,,,,,,
JT 22-12,JT,2022,134,134,116,118,154,154,91,91,86,88,144,146,133,136,,,,,,,,,,
JT 22-14,JT,2022,134,134,112,112,144,144,0,0,86,88,144,144,133,133,,,,,,,,,,
JT 22-16,JT,2022,134,134,118,122,148,152,0,0,88,88,144,144,133,157,,,,,,,,,,
JT 22-17,JT,2022,134,134,0,0,152,158,0,0,86,86,144,144,136,157,,,,,,,,,,
JT 22-18,JT,2022,134,134,116,118,148,148,0,0,86,86,146,146,133,157,,,,,,,,,,
